8109,Mid Blue Grey,`,101,124,150,211.84,0.20,0.49,51.13,-1.81,-16.73,LThanda
8110,Blue Shadow,a,64,102,141,210.39,0.38,0.40,42.02,-1.57,-25.61,LThanda
8115,Duck Egg Blue,b,115,151,168,199.25,0.23,0.55,60.43,-8.22,-12.92,LThanda
8116,Sky Blue,c,100,137,169,207.83,0.29,0.53,55.55,-4.40,-20.99,LThanda
8117,Mid Sky Blue,d,80,119,159,210.38,0.33,0.47,48.76,-2.14,-25.74,LThanda
8118,Dark Sky Blue,e,66,95,136,215.14,0.35,0.40,39.78,1.61,-26.08,LThanda
8119,Light Delft,f,42,76,129,216.55,0.51,0.34,32.36,6.02,-33.57,LThanda
8120,Delft,g,48,74,127,220.25,0.45,0.34,31.94,7.81,-32.98,LThanda
8121,Junior Navy,h,36,47,94,228.62,0.45,0.25,20.89,11.43,-29.58,LThanda
8122,Azure,i,105,148,168,199.05,0.27,0.54,58.98,-9.46,-15.17,LThanda
8123,Cornflower,j,46,95,153,212.52,0.54,0.39,39.69,3.39,-36.53,LThanda
8124,Dark Cornflower,k,39,86,152,215.04,0.59,0.37,36.66,7.74,-40.77,LThanda
8125,Forget-Me-Not Blue,l,85,151,185,200.40,0.42,0.53,59.50,-11.28,-24.11,LThanda
8126,Delphinium Blue,m,52,125,181,206.05,0.55,0.46,50.37,-3.88,-36.10,LThanda
8127,Santorini Blue,n,17,94,160,207.69,0.81,0.35,39.01,3.42,-41.85,LThanda
8128,Reflex Blue,o,14,83,150,209.56,0.83,0.32,34.97,6.33,-42.31,LThanda
8129,Dark Reflex Blue,p,14,80,157,212.31,0.84,0.34,34.53,11.24,-47.24,LThanda
8130,Ocean Blue,q,18,63,133,216.52,0.76,0.30,27.78,13.21,-43.45,LThanda
8131,Navy Blue,r,19,59,123,216.92,0.73,0.28,25.85,11.91,-40.31,LThanda
8132,Light Glacier,s,130,179,174,173.88,0.24,0.61,69.50,-17.23,-2.70,LThanda
8133,Glacier Blue,t,89,161,173,188.57,0.34,0.51,62.19,-19.24,-13.23,LThanda
8134,Dark Glacier,u,58,165,193,192.44,0.54,0.49,63.06,-21.17,-23.21,LThanda
8135,Pale Denim,v,56,111,149,204.52,0.45,0.40,44.77,-6.06,-26.13,LThanda
8136,Denim,w,18,89,133,202.96,0.76,0.30,35.92,-4.17,-30.44,LThanda
8137,Dark Denim,x,20,65,107,208.97,0.69,0.25,26.71,1.14,-28.77,LThanda
8138,Light Aegean,y,29,150,188,194.34,0.73,0.43,57.76,-18.11,-28.62,LThanda
8139,Aegean Blue,z,14,135,187,198.03,0.86,0.39,52.96,-11.10,-35.54,LThanda
8140,Deep Aegean Blue,{,9,103,164,203.61,0.90,0.34,41.91,-1.12,-39.61,LThanda
8141,Light Aqua,|,38,156,179,189.79,0.65,0.43,59.38,-23.50,-21.02,LThanda
8142,Aqua,},19,154,185,191.20,0.81,0.40,58.74,-21.93,-25.41,LThanda
8143,Dark Aqua,~,8,126,164,194.62,0.91,0.34,49.07,-14.79,-28.34,LThanda
8144,Pale Blue Grey,¡,115,134,159,214.09,0.19,0.54,55.28,-0.91,-15.57,LThanda
8145,French Blue,¢,88,109,135,213.19,0.21,0.44,45.31,-1.03,-16.83,LThanda
8146,Dark Blue Grey,£,51,75,109,215.17,0.36,0.31,31.44,1.46,-22.50,LThanda
8148,Ice Blue,¤,155,181,181,180.00,0.15,0.66,71.79,-8.85,-2.99,LThanda
8149,Mid Sea Quest,¥,141,184,186,182.67,0.25,0.64,71.89,-13.77,-5.70,LThanda
8150,Sea Quest,¦,117,166,178,191.80,0.28,0.58,65.18,-13.25,-11.41,LThanda
8151,Dark Sea Quest,§,96,142,164,199.41,0.27,0.51,56.60,-9.71,-16.55,LThanda
8152,Oriental Light Blue,¨,52,114,149,201.65,0.48,0.39,45.54,-8.60,-24.95,LThanda
8153,Oriental Blue,©,48,97,137,206.97,0.48,0.36,39.55,-3.34,-27.11,LThanda
8154,Mid Oriental Blue,ª,26,74,116,208.00,0.63,0.28,30.35,-0.39,-28.70,LThanda
8155,Dark Oriental Blue,«,28,65,99,208.73,0.56,0.25,26.53,-0.82,-23.91,LThanda
8156,Ink,¬,21,47,83,214.84,0.60,0.20,19.30,3.87,-24.87,LThanda
8157,Midnight Blue,®,23,37,61,217.89,0.45,0.16,14.64,2.62,-17.20,LThanda
8158,Indigo,¯,32,31,49,243.33,0.23,0.16,12.66,5.65,-11.72,LThanda
8159,Baby Blue,°,152,174,174,180.00,0.12,0.64,69.47,-7.57,-2.58,LThanda
8160,Light Teal,±,122,149,154,189.37,0.14,0.54,59.86,-8.30,-5.79,LThanda
8161,Mid Teal,²,94,127,139,196.00,0.19,0.46,51.18,-8.59,-10.27,LThanda
8162,Teal,³,72,107,121,197.14,0.25,0.38,43.17,-8.61,-11.76,LThanda
8163,Dark Teal,´,36,70,89,201.51,0.42,0.25,28.05,-6.08,-15.06,LThanda
8164,Midnight Teal,µ,24,51,73,206.94,0.51,0.19,20.21,-2.36,-16.70,LThanda
8166,Bluestone,¶,120,169,177,188.42,0.27,0.58,66.17,-14.24,-9.35,LThanda
8167,Heavenly Blue,·,103,147,165,197.42,0.26,0.53,58.48,-10.27,-14.23,LThanda
