8159,Baby Blue,152,174,174,#98AEAE,LThanda
8160,Light Teal,122,149,154,#7A959A,LThanda
8161,Mid Teal,94,127,139,#5E7F8B,LThanda
8162,Teal,72,107,121,#486B79,LThanda
8163,Dark Teal,36,70,89,#244659,LThanda
8164,Midnight Teal,24,51,73,#183349,LThanda
8166,Bluestone,120,169,177,#78A9B1,LThanda
8167,Heavenly Blue,103,147,165,#6793A5,LThanda
8168,Light Kingfisher,49,136,165,#3188A5,LThanda
8169,Kingfisher,26,112,149,#1A7095,LThanda
8170,Dark Kingfisher,28,81,120,#1C5178,LThanda
8171,Sapphire,16,77,128,#104D80,LThanda
8172,Dark Sapphire,20,56,98,#143862,LThanda
8173,Light Aqua Marine,136,178,175,#88B2AF,LThanda
8282,Light Eucalypt,137,132,92,#89845C,LThanda
8283,Gum Green,126,118,76,#7E764C,LThanda
8284,Green Gold,135,115,75,#87734B,LThanda
8285,Pale Gold,194,173,112,#C2AD70,LThanda
8286,Gold,181,144,64,#B59040,LThanda
8287,Deep Gold,155,113,48,#9B7130,LThanda
8288,Light Bronze,143,118,53,#8F7635,LThanda
8289,Dark Khaki,105,83,44,#69532C,LThanda
8290,Bronze,109,72,37,#6D4825,LThanda
8292,String,142,127,107,#8E7F6B,LThanda
8293,Gun Metal,94,83,68,#5E5344,LThanda
8294,Putty,110,97,76,#6E614C,LThanda
8296,Linen,162,140,98,#A28C62,LThanda
8297,Fawn,132,100,75,#84644B,LThanda
8298,Dark Linen,132,91,63,#845B3F,LThanda
8303,Mocha,112,80,56,#705038,LThanda
8304,Olivine,131,91,63,#835B3F,LThanda
8307,Deep Cadmium,168,102,43,#A8662B,LThanda
8308,Russet,131,66,44,#83422C,LThanda
8309,Oaten,221,158,112,#DD9E70,LThanda
8310,Pale Ginger,159,111,72,#9F6F48,LThanda
8311,Dark Ginger,148,102,58,#94663A,LThanda
8312,Golden Ginger,163,113,64,#A37140,LThanda
8355,Light Ochre,213,135,98,#D58762,LThanda
8356,Mid Ochre,196,98,63,#C4623F,LThanda
8357,Dark Ochre,167,73,44,#A7492C,LThanda
8358,Ochre,158,66,42,#9E422A,LThanda
8359,Dark Brown,94,44,31,#5E2C1F,LThanda
8364,Medium Skin Tone,204,133,96,#CC8560,LThanda
8365,Light Tan,207,132,79,#CF844F,LThanda
8366,Mid Tan,190,104,55,#BE6837,LThanda
8367,Tan,182,94,51,#B65E33,LThanda
8368,Dark Tan,121,54,36,#793624,LThanda
8380,Red Mud,94,36,38,#5E2426,LThanda
8381,Dark Burgundy,88,34,37,#582225,LThanda
8384,Mole Pink,187,116,98,#BB7462,LThanda
8385,Light Mole,177,119,113,#B17771,LThanda
8386,Mole,149,92,86,#955C56,LThanda
8387,Dark Mole,121,64,56,#794038,LThanda
8397,Medium Latte,201,151,122,#C9977A,LThanda
8398,Latte,173,113,84,#AD7154,LThanda
8399,Dark Latte,165,99,68,#A56344,LThanda
8400,Bark,138,73,57,#8A4939,LThanda
8401,Brown,112,54,38,#703626,LThanda
8402,Chocolate Brown,86,45,38,#562D26,LThanda
8403,Dirty Paw,90,51,42,#5A332A,LThanda
8404,Purple Brown,72,38,33,#482621,LThanda
8407,Pale Donkey,183,143,122,#B78F7A,LThanda
8408,Medium Donkey,159,113,93,#9F715D,LThanda
8409,Donkey,124,85,68,#7C5544,LThanda
8410,Charcoal,74,51,45,#4A332D,LThanda
8425,Grey Green Haze,147,127,102,#937F66,LThanda
8430,Mid Twig,150,112,99,#967063,LThanda
8431,Dark Twig,139,102,87,#8B6657,LThanda
8432,Sepia,102,72,58,#66483A,LThanda
8433,Dark Sepia,64,43,41,#402B29,LThanda
8147,Ice,187,191,159,#BBBF9F,LThanda
8182,Midnight Turquoise,23,81,94,#17515E,LThanda
8191,Light Reef,104,170,160,#68AAA0,LThanda
8192,Medium Reef,75,150,140,#4B968C,LThanda
8193,Reef,58,142,129,#3A8E81,LThanda
8194,Dark Reef,8,109,98,#086D62,LThanda
8195,Waterfall,46,136,121,#2E8879,LThanda
8196,Deep Waterfall,26,134,119,#1A8677,LThanda
8198,Spa,86,144,137,#569089,LThanda
8199,Deep Spa,50,133,124,#32857C,LThanda
8200,Blue Green,35,118,111,#23766F,LThanda
