C01,White,234,238,243,#EAEEF3,Perlervault
C02,Black,41,42,43,#292A2B,Perlervault
C03,Tangerine,255,166,48,#FFA630,Perlervault
C04,Yellow Orange,230,135,57,#E68739,Perlervault
C05,Tall Poppy,203,53,49,#CB3531,Perlervault
C06,Red,182,25,39,#B61927,Perlervault
C07,Carnation Pink,225,130,176,#E182B0,Perlervault
C08,Hot Pink,220,81,154,#DC519A,Perlervault
C09,Magenta,218,67,131,#DA4383,Perlervault
C10,Picasso,234,222,127,#EADE7F,Perlervault
C11,Yellow,234,193,37,#EAC125,Perlervault
C12,Pistachio,151,207,135,#97CF87,Perlervault
C13,Pastel Green,139,178,58,#8BB23A,Perlervault
C14,Green,0,144,83,#009053,Perlervault
C15,Green Tea,0,118,95,#00765F,Perlervault
C16,Bright Carrot,249,111,64,#F96F40,Perlervault
C17,Orange,235,96,39,#EB6027,Perlervault
C18,Sky Blue,167,205,222,#A7CDDE,Perlervault
C19,Baby Blue,46,171,216,#2EABD8,Perlervault
C20,Light Blue,0,132,206,#0084CE,Perlervault
C21,Dark Blue,0,79,164,#004FA4,Perlervault
C22,Bubble Gun,242,191,184,#F2BFB8,Perlervault
C23,Sand,220,163,132,#DCA384,Perlervault
C24,Beeswax,238,211,158,#EED39E,Perlervault
C25,Lavender,138,126,194,#8A7EC2,Perlervault
C26,Pastel Lavender,145,101,178,#9165B2,Perlervault
C27,Purple,72,51,126,#48337E,Perlervault
C28,Marigold,178,121,56,#B27938,Perlervault
C29,Buccaneer,179,85,64,#B35540,Perlervault
C30,Redwood,154,69,65,#9A4541,Perlervault
C31,Light Brown,137,93,73,#895D49,Perlervault
C32,Brown,101,70,61,#65463D,Perlervault
C33,Gray,149,150,152,#959698,Perlervault
C34,Dark Gray,112,117,123,#70757B,Perlervault
C35,Silver,103,107,115,#676B73,LThanda
C36,Old Pink,206,109,131,#CE6D83,Perlervault
C37,True Blue,0,120,191,#0078BF,Perlervault
C38,Turquoise,85,164,217,#55A4D9,Perlervault
C39,Shadow Green,158,201,205,#9EC9CD,Perlervault
C40,Key Lomen Pie,205,192,63,#CDC03F,Perlervault
C41,Pastel Yellow,225,211,103,#E1D367,Perlervault
C42,Sandstorm,225,200,53,#E1C835,Perlervault
C43,Paprika,177,24,54,#B11836,Perlervault
C44,Burning Sand,238,146,124,#EE927C,Perlervault
C46,Canary,226,230,93,#E2E65D,Perlervault
C47,Vanilla,233,193,166,#E9C1A6,Perlervault
