R01,White,234,238,243,Perlervault
R02,Burning Sand,238,146,124,Perlervault
R03,Tangerine,255,166,48,Perlervault
R04,Orange,235,96,39,Perlervault
R05,Tall Poppy,203,53,49,Perlervault
R06,Raspberry Pink,239,103,178,Perlervault
R07,Gray,149,150,152,Perlervault
R08,Emerald,31,196,103,Perlervault
R09,Dark Green,0,104,94,Perlervault
R10,Baby Blue,46,171,216,Perlervault
R11,Dark Blue,0,79,164,Perlervault
R12,Pastel Lavender,145,101,178,Perlervault
R13,Black,41,42,43,Perlervault
R14,Sandstorm,225,200,53,Perlervault
R15,Redwood,154,69,65,Perlervault
R16,Brown,101,70,61,Perlervault
R17,Light Brown,137,93,73,Perlervault
R18,Sand,220,163,132,Perlervault
R19,Bubble Gun,242,191,184,Perlervault
R20,Green,0,144,83,Perlervault
R21,Pastel Green,139,178,58,Perlervault
R22,Purple,72,51,126,Perlervault
R23,Royal Purple,100,79,164,Perlervault
R24,True Blue,0,120,191,Perlervault
R25,Hot Pink,220,81,154,Perlervault
R26,Magenta,218,67,131,Perlervault
R27,Yellow,234,193,37,Perlervault
R28,Lily Pink,221,161,204,Perlervault
R29,Pastel Yellow,225,211,103,Perlervault
R30,Shadow Green,158,201,205,Perlervault
R31,Sea Mist,178,215,206,Perlervault
R32,Beeswax,238,211,158,Perlervault
R33,Maverick,192,183,215,Perlervault
R34,Red,182,25,39,Perlervault
R35,Mona Lisa,225,204,210,Perlervault
R36,Old Pink,206,109,131,Perlervault
R37,Blue-Green,96,191,203,Perlervault
R38,Burgundy,163,19,74,Perlervault
R39,Yellow Orange,230,135,57,Perlervault
R40,Carnation Pink,225,130,176,Perlervault
R41,Copper,157,91,46,LThanda
R42,Silver,103,107,115,LThanda
R43,Dark Gray,112,117,123,Perlervault
R44,Sky Blue,167,205,222,Perlervault
R45,Medium Turquoise,0,165,161,Perlervault
R46,Bright Green,142,195,36,Perlervault
R47,Marigold,178,121,56,Perlervault
R48,Corn,236,192,61,Perlervault
R49,Mulberry Wood,146,30,93,Perlervault
R50,Mandys Pink,226,164,136,Perlervault
R51,Spring Sun,223,218,189,Perlervault
R52,Picasso,234,222,127,Perlervault
R53,Turquoise,85,164,217,Perlervault
R54,Light Blue,0,132,206,Perlervault
R55,Black Rock,54,56,77,Perlervault
R57,Pistachio,151,207,135,Perlervault
R58,Canary,226,230,93,Perlervault
R59,Bright Carrot,249,111,64,Perlervault
R60,Blaze Orange,229,83,60,Perlervault
R61,Vanilla,233,193,166,Perlervault
R63,Buccaneer,179,85,64,Perlervault
R64,Paprika,177,24,54,Perlervault
R66,Lavender,138,126,194,Perlervault
R68,Key Lomen Pie,205,192,63,Perlervault
R69,Green Tea,0,118,95,Perlervault
R70,Metallic Gold,105,96,70,LThanda
R71,Tan,204,155,116,Perlervault
R72,Mine Shaft,56,62,68,Perlervault
R73,Jade Green,0,125,43,Perlervault
R74,Light Sea Blue,104,196,210,Perlervault
R75,Azure,0,158,194,Perlervault
R76,Sea Blue,0,147,169,Perlervault
R77,Ghost While,212,216,211,Perlervault
R78,Ash Grey,194,196,194,Perlervault
R79,Light Gray,167,172,173,Perlervault
R80,Pastel Orange,217,179,94,Perlervault
R81,Deer,191,145,104,Perlervault
R82,Clay,170,116,78,Perlervault
R83,Sienna,187,104,51,Perlervault
R84,Deep Chestnut,190,93,101,Perlervault
R85,Red Wine,153,50,58,Perlervault
R86,Goldenrod,232,174,0,Perlervault
R87,Coral Red,236,98,94,Perlervault
R88,Charcoal Gray,86,90,94,Perlervault
R89,Drark Algae,173,173,41,Perlervault
R90,Dark Olive,143,142,60,Perlervault
R91,Steel Blue,90,176,191,Perlervault
R92,Dark Steel Blue,0,132,178,Perlervault
R93,Brunswick Green,21,56,56,Perlervault
