C126,Marsmallow Rose,⊗,223,195,225,Perlervault
C127,Light Grape,⊘,211,142,212,Perlervault
C128,Rosebud Pink,⊙,213,166,186,Perlervault
C129,Fuschia,⊚,214,102,142,Perlervault
C130,Candy Violet,⊛,184,170,217,Perlervault
C131,Flamingo,⊜,223,72,109,Perlervault
C132,Pink Plum,⊝,188,60,166,Perlervault
C133,Amethyst,⊥,128,56,151,Perlervault
C134,Moonlight Blue,⊦,167,186,225,Perlervault
C135,Summer Rain,⋅,175,184,223,Perlervault
C136,Azur Blue,⌈,107,154,212,Perlervault
C137,Cornflower Blue,⌉,90,137,206,Perlervault
C138,Forget Me Not,⌊,101,138,208,Perlervault
C139,Indigo,⌋,86,108,189,Perlervault
C140,Horizon Blue,▪,77,116,198,Perlervault
C141,Cobolt,◉,65,109,190,Perlervault
C142,Royal Blue,◊,48,66,158,Perlervault
C143,Marine,○,2,66,136,Perlervault
C144,Pale Yellow Moss,◎,214,202,106,Perlervault
C145,Bloodrose Red,☆,157,26,56,Perlervault
C146,Spearmint,¼,128,183,161,Perlervault
C147,Mocha,½,122,89,79,Perlervault
C148,Creme,¾,239,219,161,Perlervault
C149,Iris Violet,⅕,136,132,208,Perlervault
C150,Forrest Green,⅖,52,86,33,Perlervault
C151,Lilac,⅗,174,173,220,Perlervault
C152,Pale Lilac,⅘,188,195,225,Perlervault
C153,Sahara Sand,⅙,227,192,154,Perlervault
C154,Sunkissed Teint,⅚,197,139,96,Perlervault
C155,Steel Grey,⅛,90,95,101,Perlervault
C156,Iron Grey,⅜,76,81,86,Perlervault
C157,Pepper,⅝,58,62,66,Perlervault
