A1,A1,250,244,200,Asher
A10,A10,247,124,49,Asher
A11,A11,255,221,153,Asher
A12,A12,254,159,114,Asher
A13,A13,255,195,101,Asher
A14,A14,253,84,61,Asher
A15,A15,255,243,101,Asher
A16,A16,255,255,159,Asher
A17,A17,255,227,110,Asher
A18,A18,254,190,125,Asher
A19,A19,253,124,114,Asher
A2,A2,255,255,213,Asher
A20,A20,255,213,104,Asher
A21,A21,255,227,149,Asher
A22,A22,244,245,125,Asher
A23,A23,230,201,183,Asher
A24,A24,247,248,162,Asher
A25,A25,255,214,125,Asher
A26,A26,255,200,48,Asher
A3,A3,254,255,139,Asher
A4,A4,251,237,86,Asher
A5,A5,244,215,56,Asher
A6,A6,254,172,76,Asher
A7,A7,254,139,76,Asher
A8,A8,255,218,69,Asher
A9,A9,255,153,91,Asher
B1,B1,230,238,49,Asher
B10,B10,149,211,194,Asher
B11,B11,93,114,42,Asher
B12,B12,22,111,65,Asher
B13,B13,202,235,123,Asher
B14,B14,173,233,70,Asher
B15,B15,46,81,50,Asher
B16,B16,197,237,156,Asher
B17,B17,155,177,58,Asher
B18,B18,230,238,73,Asher
B19,B19,36,184,140,Asher
B2,B2,99,243,71,Asher
B20,B20,194,240,204,Asher
B21,B21,21,106,107,Asher
B22,B22,11,60,67,Asher
B23,B23,48,58,33,Asher
B24,B24,238,252,165,Asher
B25,B25,78,132,109,Asher
B26,B26,141,122,53,Asher
B27,B27,204,225,175,Asher
B28,B28,158,229,185,Asher
B29,B29,197,226,84,Asher
B3,B3,158,247,128,Asher
B30,B30,226,252,177,Asher
B31,B31,176,231,146,Asher
B32,B32,156,171,90,Asher
B4,B4,93,224,53,Asher
B5,B5,53,227,82,Asher
B6,B6,101,226,166,Asher
B7,B7,61,175,128,Asher
B8,B8,28,156,79,Asher
B9,B9,39,82,58,Asher
C1,C1,232,255,231,Asher
C10,C10,62,188,226,Asher
C11,C11,40,221,222,Asher
C12,C12,28,51,77,Asher
C13,C13,205,232,255,Asher
C14,C14,213,253,255,Asher
C15,C15,34,196,198,Asher
C16,C16,21,87,168,Asher
C17,C17,4,209,246,Asher
C18,C18,29,51,68,Asher
C19,C19,24,135,162,Asher
C2,C2,169,249,252,Asher
C20,C20,23,109,175,Asher
C21,C21,190,221,255,Asher
C22,C22,103,180,190,Asher
C23,C23,200,226,255,Asher
C24,C24,124,196,255,Asher
C25,C25,169,229,229,Asher
C26,C26,60,174,216,Asher
C27,C27,211,223,250,Asher
C28,C28,187,207,237,Asher
C29,C29,52,72,142,Asher
C3,C3,160,226,251,Asher
C4,C4,65,204,255,Asher
C5,C5,1,172,235,Asher
C6,C6,80,170,240,Asher
C7,C7,54,119,210,Asher
C8,C8,15,84,192,Asher
C9,C9,50,75,202,Asher
D1,D1,174,180,242,Asher
D10,D10,54,24,81,Asher
